Name,Brief Description,Detailed Description,Drill Type,Skill Level (1:New to Sport; 2:Beginner; 3:Intermediate; 4:Advanced; 5:Expert),Complexity (1:Low; 2:Medium; 3:High),Suggested Length Min,Suggested Length Max,Number of People Min,Number of People Max,Skills Focused On,Positions Focused On (Chaser; Beater; Keeper; Seeker),Video Link,Diagrams
Stationary tackle,Learn basics of how to tackle,"Players pair off and form two lines, with each player facing their partner. The coach will instruct one line to get into position to tackle their opponent, and check each player's positioning before asking the other line to move towards the tacklers slowly. Tacklers will then practice where to position their body with respect to the tacklee. Once the coach is satisfied that all players have a basic understanding and will not injure themselves or others, players may move apart and practice at their own pace.","Skill-focus,Contact",2,2,5,15,2,,"Tackling, Body Positioning, Safety","Chaser,Beater,Keeper,Seeker",,
Angle of pursuit,Learn how to intercept an opponent; Practice tackles,"All players line up, spread out, on the starting line at one end of the pitch (or at starting cone). On the coach's call, the player on the end (the quaffle carrier) begins running straight down the pitch; they must continue in this straight line and not swerve. All other players must run at an angle to permit a legal tackle, and attempt to bring the quaffle carrier to the ground. If the quaffle carrier reaches the other set of hoops, they 'win' and you may assign a small punishment (i.e. a lap, 5 pushups, etc) to the rest of the players.","Skill-focus,Contact",3,3,10,20,4,,"Tackling, Angles of Pursuit, Teamwork","Chaser,Beater,Keeper,Seeker",,
Quick recovery,Learn to stay on broom while rolling,"While mounted on a broom, players performs practice rolls (forwards, sideways, and backwards) while trying to get back on your feet as quickly as possible. Coaches can also call a direction to roll if doing this with a whole team.","Skill-focus,Conditioning",1,1,5,10,1,,"Agility, Broom Control, Recovery, Balance","Chaser,Beater,Keeper,Seeker",,
Death pit/Run ALL the places,Field awareness,"Cones are set up to mark off an area in which players may be - usually a circle. Chasers are given 1-2 quaffles; there are 2-3 beaters with balls (depending on how many quaffle players you have). Once a chaser is hit, they are out. They may dodge or quaffle block, and are encouraged to communicate with other quaffle players to call attention to where the beaters are, as well as pass the quaffle to people about to be beat so they may quaffle block.","Skill-focus,Competitive",3,3,10,15,5,,"Field Awareness, Quaffle Blocking, Dodging, Communication","Chaser,Beater,Keeper,Seeker",,
3-man weave 2.0,Whatever you need it to be,"The 3-man weave can be modified to train just about any basic skill. Through the addition of a keeper, defensive chaser or defensive chasers, defensive beater, offensive beater, etc., you can create game-like scenarios that run slowly and one at a time to train situations, plays, and communication.","Skill-focus,Tactic-focus,Match-like situation",2,2,10,20,3,,"Passing, Communication, Situational Awareness","Chaser,Beater,Keeper",,
3-man weave 2.1,Recovery of bludger control; communication between beaters and chasers,"Set up for 3-man weave, but add a line of beaters on one side of the chasers, and a keeper and 2 beaters on defense. There are 4 options from this setup: 2 defensive beaters each with balls, and offensive beater without a ball; 2 defensive beaters each with balls, and offensive beater with a ball; 2 defensive beaters with 1 ball and offensive beater with a ball; 2 defensive beaters with 1 ball and offensive beater without a ball. Each of these scenarios is slightly different and will force both the beater and chasers to react differently. Roate chasers and beaters through the defensive positions.","Skill-focus,Tactic-focus,Match-like situation",3,2,10,20,6,,"Bludger Control, Communication, Passing, Decision Making","Chaser,Beater,Keeper",,
3-man weave 2.2,Chaser defense,"Set up for 3-man weave, but add a single defensive chaser and a keeper who must intercept the ball. Rotate chasers through this defensive position (especially chasers who have weaker agility or defensive positioning).","Skill-focus,Tactic-focus,Match-like situation",4,2,10,20,5,,"Chaser Defense, Interceptions, Passing Under Pressure","Chaser,Keeper",,
3-man weave 2.3,Play creation,"Set up for 3-man weave with any defensive setup desired (recommended: start with none, then add in a keeper, chaser, and beater, in that order). Put chasers together in groups of 3 - if you have set lines, put your lines together. Each line will run a weave until midfield, and after that they're free to try any play they would like. This will encourage players to take initiative and put together the base skills they have into movement patterns, and you're likely to notice things that actually start to work.","Skill-focus,Tactic-focus,Match-like situation",4,3,15,30,6,,"Playmaking, Communication, Creativity","Chaser,Beater,Keeper",,
Ball retrieval,Improve ability to pick up ground balls; direction changes,"The players line up in one line beside the coach. The coach throws or kicks a ball corresponding to the position of the player and the player must sprint to retrieve it, pick it up, then sprint back and drop it at the feet of the coach. A variation on this is to kick or throw one ball and two players sprint to retrieve it, simulating a situation in which two players are fighting for a ball.","Skill-focus,Conditioning",2,1,5,15,2,,"Ground Ball Retrieval, Agility, Speed, Direction Changes","Chaser,Beater,Keeper,Seeker",,
Circle of death,Bludger avoidance; quaffle blocking; field awareness; beater aim; controlling rebounds,"Cones are set up to make a circle. The size of the circle will depend on how many chasers you have at practice. The chasers should have enough space to run comfortably but also be forced to think quickly and make quick direction changes. Chasers are in the middle of the circle, and beaters are all around the outside. Chasers can be given quaffles with which they may block, and the beaters can be given enough bludgers that there will always be one or two beaters without a ball - it is their responsibility to go for the rebounds of the other beaters. The drill can be timed and run several times: after the first baseline time, if the time is longer, chasers win; if the time is shorter, the beaters win. Alternately, give the beaters a time limit in which to knock out all the chasers; if there are chasers remaining after the time limit, the chasers win.","Skill-focus,Competitive",5,2,10,20,6,,"Bludger Avoidance, Quaffle Blocking, Field Awareness, Beater Aim, Rebounds","Chaser,Beater",,
